[HIGHEST OVERHEAD] SALARY EXPENSE: 26.74 % 
[CASH DEFICITS] DAY: 1, AMOUNT: USD 12600
[CASH DEFICITS] DAY: 87, AMOUNT: USD 89859
[CASH DEFICITS] DAY: 90, AMOUNT: USD 40672
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD338820
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD100659
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD102915
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD131836
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD208082
[PROFIT DEFICIT] DAY: 8, AMOUNT: USD68678
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD83567
[PROFIT DEFICIT] DAY: 16, AMOUNT: USD35502
[PROFIT DEFICIT] DAY: 17, AMOUNT: USD28752
[PROFIT DEFICIT] DAY: 18, AMOUNT: USD70747
[PROFIT DEFICIT] DAY: 21, AMOUNT: USD89737
[PROFIT DEFICIT] DAY: 22, AMOUNT: USD107045
[PROFIT DEFICIT] DAY: 23, AMOUNT: USD176128
[PROFIT DEFICIT] DAY: 24, AMOUNT: USD45995
[PROFIT DEFICIT] DAY: 26, AMOUNT: USD26336
[PROFIT DEFICIT] DAY: 27, AMOUNT: USD59525
[PROFIT DEFICIT] DAY: 29, AMOUNT: USD66639
[PROFIT DEFICIT] DAY: 31, AMOUNT: USD20651
[PROFIT DEFICIT] DAY: 32, AMOUNT: USD27577
[PROFIT DEFICIT] DAY: 34, AMOUNT: USD25277
[PROFIT DEFICIT] DAY: 41, AMOUNT: USD12504
[PROFIT DEFICIT] DAY: 42, AMOUNT: USD36873
[PROFIT DEFICIT] DAY: 44, AMOUNT: USD56913
[PROFIT DEFICIT] DAY: 45, AMOUNT: USD71623
[PROFIT DEFICIT] DAY: 46, AMOUNT: USD67854
[PROFIT DEFICIT] DAY: 49, AMOUNT: USD64063
[PROFIT DEFICIT] DAY: 51, AMOUNT: USD114909
[PROFIT DEFICIT] DAY: 58, AMOUNT: USD39194
[PROFIT DEFICIT] DAY: 60, AMOUNT: USD46936
[PROFIT DEFICIT] DAY: 61, AMOUNT: USD48890
[PROFIT DEFICIT] DAY: 62, AMOUNT: USD21173
[PROFIT DEFICIT] DAY: 63, AMOUNT: USD45421
[PROFIT DEFICIT] DAY: 64, AMOUNT: USD89009
[PROFIT DEFICIT] DAY: 65, AMOUNT: USD60172
[PROFIT DEFICIT] DAY: 66, AMOUNT: USD64837
[PROFIT DEFICIT] DAY: 67, AMOUNT: USD30897
[PROFIT DEFICIT] DAY: 68, AMOUNT: USD77535
[PROFIT DEFICIT] DAY: 70, AMOUNT: USD44709
[PROFIT DEFICIT] DAY: 71, AMOUNT: USD18170
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD66481
[PROFIT DEFICIT] DAY: 75, AMOUNT: USD114691
[PROFIT DEFICIT] DAY: 76, AMOUNT: USD64763
[PROFIT DEFICIT] DAY: 77, AMOUNT: USD617084
[PROFIT DEFICIT] DAY: 80, AMOUNT: USD2197
[PROFIT DEFICIT] DAY: 81, AMOUNT: USD614827
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD37141
[PROFIT DEFICIT] DAY: 84, AMOUNT: USD155799
[PROFIT DEFICIT] DAY: 86, AMOUNT: USD53279
[PROFIT DEFICIT] DAY: 87, AMOUNT: USD56009
[PROFIT DEFICIT] DAY: 89, AMOUNT: USD54398
[PROFIT DEFICIT] DAY: 90, AMOUNT: USD76053
